candidate_id,state_name,constituency_number,candidate_name_eci,sitting_mla,adr_party,eci_party,education,age,assets_number,liabilities_number,assets_minus_liabilities,criminal_cases,gender
2358,Uttar Pradesh,87,AVDESH SINGH ( RAMU SUMAN),,RLD,Rashtriya Lok Dal,Doctorate,35,102372774,51692029,50680745,0,M
2359,Uttar Pradesh,87,BABITA SINGH MAURYA,,Rashtriya Samanta Dal,Rashtriya Samanta Dal,8th Pass,43,7766000,0,7766000,0,F
2360,Uttar Pradesh,87,DR. GIRRAJ SINGH DHARMESH,,BJP,Bharatiya Janata Party,Graduate Professional,63,23494000,150000,23344000,2,M
2361,Uttar Pradesh,87,GUTIYARI LAL DUWESH,Y,BSP,Bahujan Samaj Party,8th Pass,52,54117613,12304057,41813556,0,M
2362,Uttar Pradesh,87,HARI KISHAN,,IND,Independent,8th Pass,55,458000,0,458000,0,M
2363,Uttar Pradesh,87,MAMTA KAUDAN,,SP,Samajwadi Party,Graduate,44,44629000,3000000,41629000,0,F
2364,Uttar Pradesh,87,OMPRAKASH,,Bhartiya Sarvodaya Party,Bhartiya Sarvodaya Party,Literate,46,2177000,0,2177000,0,M
2365,Uttar Pradesh,87,PRADEEP VERMA,,IND,Independent,12th Pass,32,200000,0,200000,0,M
2366,Uttar Pradesh,87,RAJKUMAR SINGH,,Jan Adhikar Manch,Jan Adhikar Manch,Graduate,38,1460000,800000,660000,0,M
2367,Uttar Pradesh,87,RAJVEER SINGH,,IND,Independent,10th Pass,30,70000,0,70000,0,M
2368,Uttar Pradesh,87,RAKESH KUMAR,,Peace Party,Peace Party,Literate,,86000,0,86000,0,M
2369,Uttar Pradesh,87,SUBHASH CHAND,,IND,Independent,8th Pass,57,2205500,0,2205500,0,M
2370,Uttar Pradesh,87,UMESH CHAND,,Ambedkarite Party of India,Ambedkarite Party of India,Graduate,47,50000,0,50000,0,M
2371,Uttar Pradesh,87,VISHAL KUMAR,,IND,Independent,8th Pass,44,3980000,0,3980000,0,M
2398,Uttar Pradesh,89,ATUL GARG,,SP,Samajwadi Party,Graduate Professional,47,22432102,0,22432102,0,M
2399,Uttar Pradesh,89,DEV KUMAR,,Jan Adhikar Manch,Jan Adhikar Manch,8th Pass,41,185000,0,185000,0,M
2400,Uttar Pradesh,89,ER. GYANENDRA GAUTAM,,BSP,Bahujan Samaj Party,Graduate Professional,35,40806253,2670741,38135512,3,M
2401,Uttar Pradesh,89,IRFAN KHAN,,VANCHITSAMAJ INSAAF PARTY,VANCHITSAMAJ INSAAF PARTY,5th Pass,29,5000,0,5000,0,M
2402,Uttar Pradesh,89,JAGAN PRASAD GARG,Y,BJP,Bharatiya Janata Party,Graduate,64,167804565,114785000,53019565,5,M
2403,Uttar Pradesh,89,KUNDANIKA SHARMA,,IND,Independent,Post Graduate,50,7295160,0,7295160,4,F
2404,Uttar Pradesh,89,MUKESH,,Rashtriya Samanta Dal,Rashtriya Samanta Dal,10th Pass,30,196000,0,196000,0,M
2405,Uttar Pradesh,89,PRATAP GUJAR,,IND,Independent,12th Pass,39,1129905,0,1129905,0,M
2406,Uttar Pradesh,89,REKHA,,IND,Independent,Graduate Professional,33,1767000,180000,1587000,0,F
2407,Uttar Pradesh,89,SATENDRA DIXIT,,IND,Independent,12th Pass,26,1613254,1057000,556254,0,M
2408,Uttar Pradesh,89,SATYA PRAKASH,,IND,Independent,Graduate Professional,47,1957124,672087,1285037,1,M
2409,Uttar Pradesh,89,TEJVEER SINGH,,Peace Party,Peace Party,Graduate,41,231000,0,231000,0,M
2410,Uttar Pradesh,89,COL. UMESH VERMA,,RLD,Rashtriya Lok Dal,Graduate Professional,45,16698682,0,16698682,0,M
2411,Uttar Pradesh,89,VINIT AGRAWAL,,IND,Independent,Graduate,37,116600,0,116600,0,M
2412,Uttar Pradesh,89,VIVEK KUMAR JAIN,,Bhartiya Shakti Chetna Party,Bhartiya Shakti Chetna Party,Graduate,41,1705000,0,1705000,0,M
