const_id,const_name,category,gender,party,muslim,C&G,G&M,M&C
1,Seohara,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
2,Dhampur,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
3,Afzalgarh,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
4,Nagina,S.C.,F,BSP,FALSE,TRUE,FALSE,FALSE
5,Nazibabad,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
6,Bijnor,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
7,Chandpur,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
8,Kanth,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
9,Amroha,GEN,M,SP,TRUE,FALSE,FALSE,TRUE
10,Hasanpur,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
11,Gangeshwari,S.C.,M,BJP,FALSE,FALSE,FALSE,FALSE
12,Sambhal,GEN,M,SP,TRUE,FALSE,FALSE,TRUE
13,Bahjoi,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
14,Chandausi,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
15,Kundarki,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
16,Moradabad West,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
17,Moradabad,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
18,Moradabad Rural,GEN,M,SP,TRUE,FALSE,FALSE,TRUE
19,Thakurdwara,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
20,Suar Tanda,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
21,Rampur,GEN,M,SP,TRUE,FALSE,FALSE,TRUE
22,Bilaspur,GEN,M,INC,FALSE,FALSE,FALSE,FALSE
23,Shahabad,S.C.,M,BJP,FALSE,FALSE,FALSE,FALSE
24,Bisauli,GEN,F,RPD,FALSE,FALSE,FALSE,FALSE
25,Gunnaur,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
26,Sahaswan,GEN,M,RPD,FALSE,FALSE,FALSE,FALSE
27,Bilsi,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
28,Budaun,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
29,Usehat,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
30,Binawar,GEN,M,BJSH,FALSE,FALSE,FALSE,FALSE
31,Dataganj,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
32,Aonla,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
33,Sunha,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
34,Faridpur,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
35,Bareilly Cantonment,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
36,Bareilly City,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
37,Nawabganj,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
38,Bhojipura,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
39,Kawar,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
40,Baheri,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
41,Pilibhit,GEN,M,SP,TRUE,FALSE,FALSE,TRUE
42,Barkhera,S.C.,M,BJP,FALSE,FALSE,FALSE,FALSE
43,Bisalpur,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
44,Puranpur,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
45,Powayan,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
46,Nigohi,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
47,Tilhar,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
48,Jalalabad,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
49,Dadraul,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
50,Shahjahanpur,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
51,Mohammadi,S.C.,F,BJP,FALSE,TRUE,FALSE,FALSE
52,Haiderabad,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
53,Paila,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
54,Lakhimpur,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
55,Srinagar,GEN,M,SP,TRUE,FALSE,FALSE,TRUE
56,Nighasan,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
57,Dhaurahra,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
58,Behta,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
59,Biswan,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
60,Mahmudabad,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
61,Sidhauli,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
62,Laharpur,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
63,Sitapur,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
64,Hargaon,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
65,Misrikh,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
66,Machhrehta,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
67,Beniganj,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
68,Sandila,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
69,Ahirori,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
70,Hardoi,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
71,Bawan,S.C.,F,BSP,FALSE,TRUE,FALSE,FALSE
72,Pihani,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
73,Shahabad,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
74,Bilgram,GEN,F,BSP,FALSE,FALSE,FALSE,FALSE
75,Mallawan,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
76,Bangarmau,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
77,Safipur,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
78,Unnao,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
79,Hadha,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
80,Bhagwant Nagar,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
81,Purwa,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
82,Hasanganj,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
83,Malihabad,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
84,Mahona,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
85,Lucknow East,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
86,Lucknow West,GEN,M,INC,FALSE,FALSE,FALSE,FALSE
87,Lucknow Central,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
88,Lucknow Cantonment,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
89,Sarojini Nagar,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
90,Mohanlalganj,S.C.,M,RSBP,FALSE,FALSE,FALSE,FALSE
91,Bachhrawan,S.C.,M,INC,FALSE,FALSE,FALSE,FALSE
92,Tiloi,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
93,Rae Bareli,GEN,M,IND,FALSE,FALSE,FALSE,FALSE
94,Sataon,GEN,M,INC,FALSE,FALSE,FALSE,FALSE
95,Sareni,GEN,M,INC,FALSE,FALSE,FALSE,FALSE
96,Dalmau,GEN,M,INC,FALSE,FALSE,FALSE,FALSE
97,Salon,S.C.,M,INC,FALSE,FALSE,FALSE,FALSE
98,Kunda,GEN,M,IND,FALSE,FALSE,FALSE,FALSE
99,Bihar,S.C.,M,IND,FALSE,FALSE,FALSE,FALSE
100,Rampur Khas,GEN,M,INC,FALSE,FALSE,FALSE,FALSE
101,Gadwara,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
