const_id,const_name,category,gender,party,muslim
87,Agra Cantonment,S.C.,M,BSP,TRUE
89,Agra North,GEN,M,BJP,TRUE
90,Agra Rural,S.C.,M,BSP,TRUE
88,Agra South,GEN,M,BJP,TRUE
385,Ajagara,S.C.,M,BSP,TRUE
281,Akbarpur,GEN,M,SP,TRUE
206,Akbarpur Raniya,GEN,M,SP,TRUE
279,Alapur,S.C.,M,SP,TRUE
103,Aliganj,GEN,M,SP,TRUE
76,Aligarh,GEN,M,SP,TRUE
262,Allahabad North,GEN,M,INC,TRUE
263,Allahabad South,GEN,M,SP,TRUE
261,Allahabad West,GEN,F,BSP,TRUE
101,Amanpur,GEN,M,BSP,TRUE
186,Amethi,GEN,M,SP,TRUE
193,Amritpur,GEN,M,SP,TRUE
41,Amroha,GEN,M,SP,TRUE
67,Anupshahr,GEN,M,BSP,TRUE
126,Aonla,GEN,M,BJP,TRUE
214,Arya Nagar,GEN,M,BJP,TRUE
32,Asmoli,GEN,F,SP,TRUE
73,Atrauli,GEN,M,SP,TRUE
343,Atraulia,GEN,M,SP,TRUE
394,Aurai,S.C.,F,SP,TRUE
204,Auraiya,S.C.,M,SP,TRUE
241,Ayah Shah,GEN,M,BSP,TRUE
275,Ayodhya,GEN,M,SP,TRUE
347,Azamgarh,GEN,M,SP,TRUE
245,Babaganj,S.C.,M,IND,TRUE
233,Baberu,GEN,M,SP,TRUE
222,Babina,GEN,M,BSP,TRUE
177,Bachhrawan,S.C.,M,SP,TRUE
115,Badaun,GEN,M,SP,TRUE
364,Badlapur,GEN,M,SP,TRUE
52,Baghpat,GEN,F,BSP,TRUE
94,Bah,GEN,M,SP,TRUE
118,Baheri,GEN,M,SP,TRUE
286,Bahraich,GEN,M,SP,TRUE
363,Bairia,GEN,M,SP,TRUE
169,Bakshi Kaa Talab,GEN,M,SP,TRUE
160,Balamau,S.C.,M,SP,TRUE
85,Baldev,S.C.,M,RLD,TRUE
282,Balha,S.C.,F,BJP,TRUE
361,Ballia Nagar,GEN,M,SP,TRUE
294,Balrampur,S.C.,M,SP,TRUE
235,Banda,GEN,M,INC,TRUE
162,Bangarmau,GEN,M,SP,TRUE
362,Bansdih,GEN,M,SP,TRUE
327,Bansgaon,S.C.,M,BSP,TRUE
304,Bansi,GEN,M,BJP,TRUE
264,Bara,S.C.,M,SP,TRUE
268,Barabanki,GEN,M,SP,TRUE
72,Barauli,GEN,M,RLD,TRUE
51,Baraut,GEN,M,BSP,TRUE
124,Bareilly,GEN,M,BJP,TRUE
125,Bareilly Cantt.,GEN,M,BJP,TRUE
342,Barhaj,GEN,M,SP,TRUE
19,Barhapur,GEN,M,BSP,TRUE
128,Barkhera,GEN,M,SP,TRUE
310,Basti Sadar,GEN,M,BSP,TRUE
1,Behat,GEN,M,BSP,TRUE
357,Belthara Road,S.C.,M,SP,TRUE
392,Bhadohi,GEN,M,SP,TRUE
166,Bhagwant Nagar,GEN,M,SP,TRUE
201,Bharthana,S.C.,F,SP,TRUE
340,Bhatpar Rani,GEN,M,SP,TRUE
289,Bhinga,GEN,F,SP,TRUE
208,Bhognipur,GEN,M,SP,TRUE
120,Bhojipura,GEN,M,IEMC,TRUE
195,Bhojpur,GEN,M,SP,TRUE
108,Bhongaon,GEN,M,SP,TRUE
202,Bidhuna,GEN,M,SP,TRUE
22,Bijnor,GEN,M,BJP,TRUE
274,Bikapur,GEN,M,SP,TRUE
30,Bilari,GEN,M,SP,TRUE
36,Bilaspur,GEN,M,INC,TRUE
159,Bilgram Mallanwan,GEN,M,BSP,TRUE
209,Bilhaur,S.C.,F,SP,TRUE
114,Bilsi,GEN,M,BSP,TRUE
239,Bindki,GEN,M,BSP,TRUE
130,Bisalpur,GEN,M,BJP,TRUE
112,Bisauli,S.C.,M,SP,TRUE
247,Bishwavnathganj,GEN,M,SP,TRUE
149,Biswan,GEN,M,SP,TRUE
123,Bithari Chainpur,GEN,M,BSP,TRUE
210,Bithoor,GEN,M,SP,TRUE
11,Budhana,GEN,M,SP,TRUE
65,Bulandshahr,GEN,M,BSP,TRUE
320,Caimpiyarganj,GEN,M,NCP,TRUE
253,Chail,GEN,M,BSP,TRUE
383,Chakia,S.C.,F,SP,TRUE
35,Chamraua,GEN,M,BSP,TRUE
31,Chandausi,S.C.,F,SP,TRUE
23,Chandpur,GEN,M,BSP,TRUE
231,Charkhari,GEN,F,BJP,TRUE
12,Charthawal,GEN,M,BSP,TRUE
326,Chauri Chaura,GEN,M,BSP,TRUE
395,Chhanbey,S.C.,M,SP,TRUE
50,Chhaprauli,GEN,M,RLD,TRUE
74,Chharra,GEN,M,SP,TRUE
81,Chhata,GEN,M,RLD,TRUE
196,Chhibramau,GEN,M,SP,TRUE
328,Chillupar,GEN,M,BSP,TRUE
236,Chitrakoot,GEN,M,SP,TRUE
398,Chunar,GEN,M,SP,TRUE
298,Colonelganj,GEN,M,SP,TRUE
136,Dadraul,GEN,M,SP,TRUE
62,Dadri,GEN,M,BSP,TRUE
270,Dariyabad,GEN,M,SP,TRUE
117,Dataganj,GEN,M,BSP,TRUE
68,Debai,GEN,M,SP,FALSE
5,Deoband,GEN,M,SP,FALSE
337,Deoria,GEN,M,BJP,FALSE
20,Dhampur,GEN,M,SP,FALSE
39,Dhanaura,S.C.,M,SP,FALSE
314,Dhanghata,S.C.,M,SP,FALSE
141,Dhaurahra,GEN,M,BSP,FALSE
58,Dholana,GEN,M,SP,FALSE
203,Dibiyapur,GEN,M,SP,FALSE
350,Didarganj,GEN,M,SP,FALSE
