const_id,const_name,party,gender,category,muslim,C&G,G&M,M&C
1,Behat,INC,M,GEN,FALSE,FALSE,FALSE,FALSE
2,Nakur,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
3,Saharanpur Nagar,SP,M,GEN,FALSE,FALSE,FALSE,FALSE
4,Saharanpur,INC,M,GEN,TRUE,FALSE,FALSE,FALSE
5,Deoband,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
6,Rampur Maniharan,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
7,Gangoh,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
8,Kairana,SP,M,GEN,TRUE,FALSE,FALSE,FALSE
9,Thana Bhawan,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
10,Shamli,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
11,Budhana,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
12,Charthawal,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
13,Purqazi,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
14,Muzaffar Nagar,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
15,Khatauli,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
16,Meerapur,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
17,Najibabad,SP,M,GEN,TRUE,FALSE,FALSE,FALSE
18,Nagina,SP,M,S.C.,FALSE,FALSE,FALSE,FALSE
19,Barhapur,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
20,Dhampur,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
21,Nehtaur,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
22,Bijnor,BJP,F,GEN,FALSE,FALSE,FALSE,FALSE
23,Chandpur,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
24,Noorpur,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
25,Kanth,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
26,Thakurdwara,SP,M,GEN,TRUE,FALSE,FALSE,FALSE
27,Moradabad Rural,SP,M,GEN,TRUE,FALSE,FALSE,FALSE
28,Moradabad Nagar,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
29,Kundarki,SP,M,GEN,TRUE,FALSE,FALSE,FALSE
30,Bilari,SP,M,GEN,TRUE,FALSE,FALSE,FALSE
31,Chandausi,BJP,F,S.C.,FALSE,FALSE,FALSE,FALSE
32,Asmoli,SP,F,GEN,FALSE,FALSE,FALSE,FALSE
33,Sambhal,SP,M,GEN,TRUE,FALSE,FALSE,FALSE
