const_id,const_name,category,gender,party,muslim,C&G,G&M,M&C
1,Behat,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
2,Nakur,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
3,Saharanpur Nagar,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
4,Saharanpur,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
5,Deoband,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
6,Rampur Maniharan,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
7,Gangoh,GEN,M,INC,FALSE,FALSE,FALSE,FALSE
8,Kairana,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
9,Thana Bhawan,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
10,Shamli,GEN,M,INC,FALSE,FALSE,FALSE,FALSE
11,Budhana,GEN,M,SP,TRUE,FALSE,FALSE,TRUE
12,Charthawal,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
13,Purqazi,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
14,Muzaffarnagar,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
15,Khatauli,GEN,M,RLD,FALSE,FALSE,FALSE,FALSE
16,Meerapur,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
17,Najibabad,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
18,Nagina,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
19,Barhapur,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
20,Dhampur,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
21,Nehtaur,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
22,Bijnor,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
23,Chandpur,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
24,Noorpur,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
25,Kanth,GEN,M,PECP,TRUE,FALSE,FALSE,TRUE
26,Thakurdwara,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
27,Moradabad Rural,GEN,M,SP,TRUE,FALSE,FALSE,TRUE
