const_id,const_name,category,gender,party,muslim
1,Behat,GEN,M,INC,FALSE
2,Nakur,GEN,M,BJP,FALSE
3,Saharanpur Nagar,GEN,M,SP,FALSE
4,Saharanpur,GEN,M,INC,TRUE
5,Deoband,GEN,M,BJP,FALSE
6,Rampur Maniharan,S.C.,M,BJP,FALSE
7,Gangoh,GEN,M,BJP,FALSE
8,Kairana,GEN,M,SP,TRUE
9,Thana Bhawan,GEN,M,BJP,FALSE
10,Shamli,GEN,M,BJP,FALSE
11,Budhana,GEN,M,BJP,FALSE
12,Charthawal,GEN,M,BJP,FALSE
13,Purqazi,S.C.,M,BJP,FALSE
14,Muzaffar Nagar,GEN,M,BJP,FALSE
15,Khatauli,GEN,M,BJP,FALSE
16,Meerapur,GEN,M,BJP,FALSE
17,Najibabad,GEN,M,SP,TRUE
18,Nagina,S.C.,M,SP,FALSE
19,Barhapur,GEN,M,BJP,FALSE
20,Dhampur,GEN,M,BJP,FALSE
21,Nehtaur,S.C.,M,BJP,FALSE
22,Bijnor,GEN,F,BJP,FALSE
23,Chandpur,GEN,M,BJP,FALSE
24,Noorpur,GEN,M,BJP,FALSE
25,Kanth,GEN,M,BJP,FALSE
26,Thakurdwara,GEN,M,SP,TRUE
27,Moradabad Rural,GEN,M,SP,TRUE
28,Moradabad Nagar,GEN,M,BJP,FALSE
29,Kundarki,GEN,M,SP,TRUE
30,Bilari,GEN,M,SP,TRUE
31,Chandausi,S.C.,F,BJP,FALSE
32,Asmoli,GEN,F,SP,FALSE
33,Sambhal,GEN,M,SP,TRUE
34,Suar,GEN,M,SP,TRUE
35,Chamraua,GEN,M,SP,TRUE
36,Bilaspur,GEN,M,BJP,FALSE
37,Rampur,GEN,M,SP,TRUE
38,Milak,S.C.,F,BJP,FALSE
39,Dhanaura,S.C.,M,BJP,FALSE
40,Naugawan Sadat,GEN,M,BJP,FALSE
41,Amroha,GEN,M,SP,TRUE
42,Hasanpur,GEN,M,BJP,FALSE
43,Siwalkhas,GEN,M,BJP,FALSE
44,Sardhana,GEN,M,BJP,FALSE
45,Hastinapur,S.C.,M,BJP,FALSE
46,Kithore,GEN,M,BJP,FALSE
47,Meerut Cantt.,GEN,M,BJP,FALSE
48,Meerut,GEN,M,SP,TRUE
49,Meerut South,GEN,M,BJP,FALSE
50,Chhaprauli,GEN,M,Rashtriya Lok Dal,FALSE
51,Baraut,GEN,M,BJP,FALSE
52,Baghpat,GEN,M,BJP,FALSE
53,Loni,GEN,M,BJP,FALSE
54,Muradnagar,GEN,M,BJP,FALSE
55,Sahibabad,GEN,M,BJP,FALSE
56,Ghaziabad,GEN,M,BJP,FALSE
57,Modi Nagar,GEN,F,BJP,FALSE
58,Dholana,GEN,M,BSP,TRUE
59,Hapur,S.C.,M,BJP,FALSE
60,Garhmukteshwar,GEN,M,BJP,FALSE
61,Noida,GEN,M,BJP,FALSE
62,Dadri,GEN,M,BJP,FALSE
63,Jewar,GEN,M,BJP,FALSE
64,Sikandrabad,GEN,F,BJP,FALSE
65,Bulandshahr,GEN,M,BJP,FALSE
66,Syana,GEN,M,BJP,FALSE
67,Anupshahr,GEN,M,BJP,FALSE
68,Debai,GEN,F,BJP,FALSE
69,Shikarpur,GEN,M,BJP,FALSE
70,Khurja,S.C.,M,BJP,FALSE
71,Khair,S.C.,M,BJP,FALSE
72,Barauli,GEN,M,BJP,FALSE
73,Atrauli,GEN,M,BJP,FALSE
74,Chharra,GEN,M,BJP,FALSE
75,Koil,GEN,M,BJP,FALSE
76,Aligarh,GEN,M,BJP,FALSE
77,Iglas,S.C.,M,BJP,FALSE
78,Hathras,S.C.,M,BJP,FALSE
79,Sadabad,GEN,M,BSP,FALSE
80,Sikandra Rao,GEN,M,BJP,FALSE
81,Chhata,GEN,M,BJP,FALSE
82,Mant,GEN,M,BSP,FALSE
83,Goverdhan,GEN,M,BJP,FALSE
84,Mathura,GEN,M,BJP,FALSE
85,Baldev,S.C.,M,BJP,FALSE
