A C No.,Constituency Name,Category,Winner,Gender,Party,Votes,Runner Up,Gender,Party,Votes,Margin
1,Seohara,GEN,Yash Pal Singh,M,BSP,47751,Qutubddin,M,SP,32873,14878
2,Dhampur,GEN,Ashok Kumar Rana,M,BSP,65717,Thakur Mool Chand Chauhan,M,SP,45191,20526
3,Afzalgarh,GEN,Muhammad Gazi,M,BSP,59496,Dr. Indra Dev Singh,M,BJP,51066,8430
4,Nagina,(SC),Omwati Devi,F,BSP,46551,Manoj Kumar Paras,M,SP,36764,9787
5,Nazibabad,(SC),Sheesh Ram,M,BSP,49848,Raj Kumar,M,CPM,41860,7988
6,Bijnor,GEN,Shahnawaz S/O Badrujama,M,BSP,61588,Kuvar Bharatendra,M,BJP,61031,557
7,Chandpur,GEN,Iqbal,M,BSP,58808,Ram Avtar Singh,M,BJP,28797,30011
8,Kanth,GEN,Rizwan Ahmad Khan,M,BSP,37945,Abhinay Chaudhary,M,RLD,21817,16128
9,Amroha,GEN,Mehboob Ali,M,SP,42115,Mangal Singh,M,BJP,41437,678
10,Hasanpur,GEN,Ferhat Hasan,M,BSP,50138,Devendra Nagpal,M,IND,46631,3507
11,Gangeshwari,(SC),Harpal Singh,M,BJP,43142,Jagram Singh,M,SP,35399,7743
12,Sambhal,GEN,Iqbal Mehmood,M,SP,46096,Rajesh Singhal,M,BJP,34436,11660
13,Bahjoi,GEN,Aqeel-Ur-Rahman Khan,M,BSP,41040,Bharat Singh Yadav,M,BJP,40131,909
14,Chandausi,(SC),Girish Chandra,M,BSP,40335,Satish Premi,M,SP,33053,7282
15,Kundarki,GEN,Akbar Husain,M,BSP,50626,Hazi Mohammad Rizwan,M,SP,41356,9270
16,Moradabad West,GEN,Balram Singh Saini,M,BSP,56486,Saulat Ali,M,INC,38776,17710
17,Moradabad,GEN,Sandeep Agrawal,M,SP,49547,Vikas Jain,M,BJP,20368,29179
18,Moradabad Rural,GEN,Usmanul Haq,M,SP,49194,Ramveer Singh,M,BJP,46034,3160
19,Thakurdwara,GEN,Vijay Kumar Urf Vijay Yadav,M,BSP,62394,Kuwar Sarvesh Kumar,M,BJP,53284,9110
