const_code,constituency,win_party,win_votes,second_party,second_votes,margin
1,Seohara,BSP,47751,SP,32873,14878
2,Dhampur,BSP,65717,SP,45191,20526
3,Afzalgarh,BSP,59496,BJP,51066,8430
4,Nagina,BSP,46551,SP,36764,9787
5,Nazibabad,BSP,49848,CPM,41860,7988
6,Bijnor,BSP,61588,BJP,61031,557
7,Chandpur,BSP,58808,BJP,28797,30011
8,Kanth,BSP,37945,RLD,21817,16128
9,Amroha,SP,42115,BJP,41437,678
10,Hasanpur,BSP,50138,IND,46631,3507
11,Gangeshwari,BJP,43142,SP,35399,7743
12,Sambhal,SP,46096,BJP,34436,11660
13,Bahjoi,BSP,41040,BJP,40131,909
14,Chandausi,BSP,40335,SP,33053,7282
15,Kundarki,BSP,50626,SP,41356,9270
16,Moradabad West,BSP,56486,INC,38776,17710
17,Moradabad,SP,49547,BJP,20368,29179
18,Moradabad Rural,SP,49194,BJP,46034,3160
19,Thakurdwara,BSP,62394,BJP,53284,9110
20,Suar Tanda,BSP,87047,BJP,37858,49189
21,Rampur,SP,53091,INC,19719,33372
22,Bilaspur,INC,35040,BJP,34318,722
23,Shahabad,BJP,35793,SP,30852,4941
24,Bisauli,RPD,51116,SP,37808,13308
25,Gunnaur,SP,65232,BSP,51569,13663
26,Sahaswan,RPD,33883,SP,33774,109
27,Bilsi,BSP,44876,SP,39073,5803
28,Budaun,BJP,36403,SP,29205,7198
29,Usehat,BSP,46739,JD(U),41297,5442
30,Binawar,BJSH,34856,BSP,33508,1348
31,Dataganj,BSP,36612,INC,23680,12932
32,Aonla,BSP,40129,SP,30750,9379
33,Sunha,SP,29707,BSP,26575,3132
34,Faridpur,BSP,39371,SP,30890,8481
35,Bareilly Cantonment,BSP,31353,INC,25592,5761
36,Bareilly City,BJP,26893,INC,16464,10429
37,Nawabganj,SP,40654,BSP,36506,4148
38,Bhojipura,BSP,39339,BJP,38209,1130
39,Kawar,SP,54245,BSP,42719,11526
40,Baheri,BJP,53194,BSP,44932,8262
41,Pilibhit,SP,50947,BJP,46912,4035
42,Barkhera,BJP,55220,SP,41831,13389
43,Bisalpur,BSP,45689,BJP,40753,4936
44,Puranpur,BSP,48193,INC,41926,6267
45,Powayan,BSP,71834,INC,44322,27512
46,Nigohi,BSP,58821,SP,36021,22800
47,Tilhar,SP,43708,BSP,30286,13422
48,Jalalabad,BSP,40397,SP,36738,3659
49,Dadraul,BSP,43425,SP,37599,5826
50,Shahjahanpur,BJP,51463,BSP,41273,10190
51,Mohammadi,BJP,53391,SP,45471,7920
52,Haiderabad,SP,53781,BSP,45375,8406
53,Paila,BSP,39291,SP,30890,8401
54,Lakhimpur,SP,42269,PECP,24680,17589
55,Srinagar,SP,34982,BSP,29207,5775
56,Nighasan,SP,52867,BJP,50067,2800
57,Dhaurahra,BSP,80690,SP,51486,29204
58,Behta,SP,48414,BSP,45136,3278
59,Biswan,BSP,52658,SP,44430,8228
60,Mahmudabad,SP,81799,BSP,67988,13811
61,Sidhauli,BSP,63568,SP,51574,11994
62,Laharpur,BSP,57179,SP,44314,12865
63,Sitapur,SP,43716,BSP,41849,1867
64,Hargaon,BSP,43787,SP,37209,6578
65,Misrikh,SP,62256,BSP,59115,3141
66,Machhrehta,SP,42803,BSP,33165,9638
67,Beniganj,BSP,33769,BJP,23089,10680
68,Sandila,BSP,56115,SP,53060,3055
69,Ahirori,BSP,45276,SP,37489,7787
70,Hardoi,SP,67317,BSP,44068,23249
71,Bawan,BSP,51633,SP,30010,21623
72,Pihani,BSP,51184,SP,48591,2593
73,Shahabad,BSP,41727,SP,37721,4006
74,Bilgram,BSP,92196,SP,54028,38168
75,Mallawan,BSP,47566,SP,39448,8118
76,Bangarmau,SP,38384,BSP,36251,2133
77,Safipur,SP,38196,BSP,30810,7386
78,Unnao,SP,42210,INC,31098,11112
79,Hadha,SP,37928,BSP,36003,1925
80,Bhagwant Nagar,BSP,46343,SP,29016,17327
81,Purwa,SP,48570,BJP,44323,4247
82,Hasanganj,BSP,51541,BJP,33014,18527
83,Malihabad,BSP,62617,RCP,36173,26444
84,Mahona,BSP,54604,BJP,52427,2177
85,Lucknow East,BJP,18892,SP,18261,631
86,Lucknow West,INC,32166,BJP,29990,2176
87,Lucknow Central,BJP,30872,SP,26962,3910
88,Lucknow Cantonment,BJP,30444,BSP,25068,5376
89,Sarojini Nagar,BSP,65736,SP,60312,5424
90,Mohanlalganj,RSBP,31387,BSP,24945,6442
91,Bachhrawan,INC,40117,SP,28536,11581
92,Tiloi,SP,44513,INC,44056,457
93,Rae Bareli,IND,76603,INC,29892,46711
94,Sataon,INC,60268,SP,25133,35135
95,Sareni,INC,53938,BSP,30609,23329
96,Dalmau,INC,51517,SP,39083,12434
97,Salon,INC,45078,SP,31969,13109
98,Kunda,IND,73732,BSP,20604,53128
99,Bihar,IND,42034,BSP,32874,9160
100,Rampur Khas,INC,55221,SP,24227,30994
101,Gadwara,BSP,47209,SP,27960,19249
102,Pratapgarh,BSP,35308,SP,26352,8956
103,Birapur,BSP,43200,BJP,38693,4507
104,Patti,BJP,42579,SP,42125,454
105,Amethi,INC,48108,BSP,35684,12424
106,Gauriganj,BSP,34386,INC,28398,5988
107,Jagdishpur,INC,34563,BSP,21356,13207
108,Issauli,BSP,82063,INC,32686,49377
109,Sultanpur,SP,29504,BJP,24753,4751
110,Jaisinghpur,BSP,37013,INC,19903,17110
111,Chanda,BSP,40537,SP,24773,15764
112,Kadipur,BSP,35312,SP,33933,1379
113,Katehari,BSP,47689,SP,47449,240
114,Akbarpur,BSP,55875,SP,44035,11840
115,Jalalpur,BSP,65734,SP,61434,4300
116,Jahangirganj,BSP,56905,SP,48954,7951
117,Tanda,BSP,65365,SP,62910,2455
118,Ayodhya,BJP,58493,SP,52752,5741
119,Bikapur,BSP,52424,SP,42201,10223
120,Milkipur,BSP,60515,SP,51136,9379
121,Sohawal,SP,48624,BSP,38753,9871
122,Rudauli,SP,45388,BSP,41715,3673
123,Dariyabad,SP,56608,BSP,42840,13768
124,Siddhaur,BSP,45415,SP,35194,10221
125,Haidergarh,SP,36933,BJP,32763,4170
126,Masauli,BSP,50671,IJP,45307,5364
127,Nawabganj,BSP,49030,SP,38365,10665
128,Fatehpur,BSP,33698,SP,29227,4471
129,Ramnagar,BSP,30363,SP,27807,2556
130,Kaiserganj,BSP,38911,SP,20889,18022
131,Fakharpur,BSP,38983,SP,38547,436
