const_code,constituency,win_party,win_votes,second_party,second_votes,margin,percent
1,Behat,BSP,70274,INC,69760,514,0.23
2,Nakur,BSP,89187,INC,84623,4564,1.98
3,Saharanpur Nagar,BJP,85170,INC,72544,12626,5.75
4,Saharanpur,BSP,80670,INC,63557,17113,8.39
5,Deoband,SP,66682,BSP,63632,3050,1.56
6,Rampur Maniharan,BSP,77274,INC,50668,26606,13.61
7,Gangoh,INC,65149,SP,61126,4023,1.76
8,Kairana,BJP,80293,BSP,60750,19543,10.99
9,Thana Bhawan,BJP,53719,RLD,53454,265,0.15
10,Shamli,INC,53947,SP,50206,3741,2.22
11,Budhana,SP,68210,RLD,57622,10588,5.5
12,Charthawal,BSP,53481,BJP,40775,12706,7.37
13,Purqazi,BSP,53491,INC,44583,8908,5.32
14,Muzaffarnagar,SP,59169,BJP,44167,15002,8.86
15,Khatauli,RLD,46722,BSP,40847,5875,3.45
16,Meerapur,BSP,56802,RLD,44069,12733,7.55
17,Najibabad,BSP,62713,BJP,51130,11583,6.19
18,Nagina,SP,83997,BSP,57451,26546,14.55
19,Barhapur,BSP,68436,BJP,41061,27375,13.53
20,Dhampur,SP,53365,BSP,52801,564,0.35
21,Nehtaur,BSP,51389,SP,31991,19398,11.8
22,Bijnor,BJP,68969,BSP,51133,17836,8.52
23,Chandpur,BSP,54941,SP,39928,15013,7.98
24,Noorpur,BJP,47566,BSP,42093,5473,3.1
25,Kanth,PECP,37092,BSP,35558,1534,0.76
26,Thakurdwara,BJP,84530,MD,46556,37974,17.24
27,Moradabad Rural,SP,72213,BJP,49477,22736,12.59
28,Moradabad Nagar,SP,88341,BJP,68103,20238,9.66
29,Kundarki,SP,81302,BJP,64101,17201,7.84
30,Bilari,SP,55694,BSP,54154,1540,0.81
31,Chandausi,SP,55871,BJP,51864,4007,2.09
32,Asmoli,SP,73873,BSP,47484,26389,12.63
33,Sambhal,SP,79820,BJP,49773,30047,15.32
34,Suar,INC,55469,BJP,41754,13715,8.22
35,Chamraua,BSP,37083,SP,35237,1846,1.12
36,Bilaspur,INC,52818,SP,42641,10177,5.24
37,Rampur,SP,95772,INC,32503,63269,36.54
38,Milak,SP,56798,INC,36635,20163,11.2
39,Dhanaura,SP,55545,BSP,47916,7629,3.9
40,Naugawan Sadat,SP,55626,BSP,51964,3662,1.81
41,Amroha,SP,60807,BJP,39002,21805,12.34
42,Hasanpur,SP,92843,BSP,60615,32228,14.6
43,Siwalkhas,SP,58852,RLD,55265,3587,1.91
44,Sardhana,BJP,62438,RLD,50164,12274,5.72
45,Hastinapur,SP,46742,PECP,40101,6641,3.6
46,Kithore,SP,73015,BSP,61909,11106,5.52
47,Meerut Cantt.,BJP,70820,BSP,67207,3613,1.78
48,Meerut,BJP,68154,SP,61876,6278,3.5
49,Meerut South,BJP,71584,BSP,61800,9784,4.48
50,Chhaprauli,RLD,69394,BSP,47823,21571,14.82
51,Baraut,BSP,57209,RLD,51533,5676,3.88
52,Baghpat,BSP,56957,RLD,49294,7663,4.65
53,Loni,BSP,89603,RLD,64355,25248,11.7
54,Muradnagar,BSP,57103,SP,53481,3622,1.68
55,Sahibabad,BSP,124332,BJP,99984,24348,7.3
56,Ghaziabad,BSP,64485,BJP,52364,12121,6.69
57,Modinagar,RLD,58635,BSP,44686,13949,7.87
58,Dholana,SP,59150,BSP,49811,9339,4.62
59,Hapur,INC,77242,BSP,55090,22152,11.99
60,Garhmukteshwar,SP,82816,BSP,64617,18199,9.52
61,Noida,BJP,77319,BSP,49643,27676,13.2
62,Dadri,BSP,81137,BJP,43840,37297,18.7
63,Jewar,BSP,67524,INC,58024,9500,5.32
64,Sikandrabad,BJP,45799,BSP,45676,123,0.06
65,Bulandshahr,BSP,76646,BJP,69699,6947,3.37
66,Siana,INC,53887,BSP,52223,1664,0.8
67,Anupshahr,BSP,51761,SP,48260,3501,1.79
68,Debai,SP,62969,JaKP,59372,3597,1.96
69,Shikarpur,SP,64498,BSP,56095,8403,4.56
70,Khurja,INC,98913,BSP,61609,37304,17.78
71,Khair,RLD,93470,BSP,54696,38774,20.23
72,Barauli,RLD,80440,BSP,68417,12023,5.89
73,Atrauli,SP,54785,JaKP,45918,8867,4.31
74,Chharra,SP,54150,BSP,49364,4786,2.47
75,Koil,SP,44847,INC,44248,599,0.34
76,Aligarh,SP,68291,BJP,45205,23086,12.49
77,Iglas,RLD,66146,BSP,57953,8193,4.3
78,Hathras,BSP,59161,BJP,50488,8673,4.23
79,Sadabad,SP,63741,BSP,58554,5187,2.75
80,Sikandra Rao,BSP,94471,SP,93408,1063,0.52
81,Chhata,RLD,94757,BSP,80163,14594,6.94
82,Mant,AITC,67457,RLD,60853,6604,3.27
83,Goverdhan,BSP,63725,RLD,42230,21495,11.72
84,Mathura,INC,54498,BJP,53997,501,0.25
85,Baldev,RLD,79364,BSP,47270,32094,16.8
86,Etmadpur,BSP,79982,SP,71478,8504,3.6
87,Agra Cantonment,BSP,67786,BJP,61371,6415,3.07
88,Agra South,BJP,74324,BSP,51364,22960,11.67
89,Agra North,BJP,68401,BSP,45045,23356,11.87
90,Agra Rural,BSP,69969,SP,51123,18846,9.39
91,Fatehpur Sikri,BSP,67191,IND,61568,5623,2.77
92,Kheragarh,BSP,69533,SP,62427,7106,3.72
93,Fatehabad,BSP,73098,SP,72399,699,0.38
94,Bah,SP,99379,BSP,72908,26471,14.4
95,Tundla,BSP,67949,SP,60003,7946,3.83
96,Jasrana,SP,104440,BSP,75804,28636,14.07
97,Firozabad,BJP,74878,SP,72863,2015,0.91
98,Shikohabad,SP,98682,BSP,54688,43994,23.17
99,Sirsaganj,SP,85517,BSP,45502,40015,21.53
100,Kasganj,SP,48535,BSP,38356,10179,5.33
101,Amanpur,BSP,37996,SP,34340,3656,2.29
102,Patiyali,SP,62493,BSP,34718,27775,15.75
103,Aliganj,SP,91141,BSP,65120,26021,13.03
104,Etah,SP,39282,BSP,36038,3244,1.98
105,Marhara,SP,61827,JaKP,39571,22256,13.02
106,Jalesar,SP,55391,BSP,32822,22569,15.07
107,Mainpuri,SP,54990,BSP,40781,14209,8.51
108,Bhongaon,SP,70298,BSP,39622,30676,17.8
109,Kishni,SP,77113,BSP,42063,35050,22.84
110,Karhal,SP,92536,BSP,61593,30943,15.68
111,Gunnaur,SP,107378,INC,60720,46658,23.11
112,Bisauli,SP,89457,BSP,46467,42990,21.3
113,Sahaswan,SP,72946,BSP,65919,7027,3.18
114,Bilsi,BSP,57600,SP,49272,8328,4.69
115,Badaun,SP,62786,BJP,47373,15413,7.96
116,Shekhupur,SP,68533,INC,60281,8252,3.94
117,Dataganj,BSP,63626,SP,58299,5327,2.48
118,Baheri,SP,48172,BJP,48154,18,0.01
119,Meerganj,BSP,57446,BJP,49525,7921,4.31
120,Bhojipura,IEMC,65531,SP,47583,17948,8.91
121,Nawabganj,SP,67022,BSP,49303,17719,9.41
122,Faridpur,SP,60837,BJP,44050,16787,9.68
123,Bithari Chainpur,BSP,55972,SP,52557,3415,1.64
124,Bareilly,BJP,68983,SP,41921,27062,14.59
125,Bareilly Cantt.,BJP,51893,SP,32944,18949,12.31
126,Aonla,BJP,50782,SP,46374,4408,2.68
127,Pilibhit,SP,61578,BSP,57343,4235,1.88
128,Barkhera,SP,69256,BJP,38882,30374,15.47
129,Puranpur,SP,73847,BJP,43009,30838,13.77
130,Bisalpur,BJP,111735,INC,55664,56071,24.94
131,Katra,SP,51025,BSP,50150,875,0.47
132,Jalalabad,BSP,76406,SP,75856,550,0.27
133,Tilhar,BSP,71122,SP,60415,10707,5.46
134,Powayan,SP,59871,BSP,50973,8898,4.28
135,Shahjahanpur,BJP,81581,SP,65403,16178,8.92
136,Dadraul,SP,61967,BSP,57088,4879,2.31
137,Palia,BSP,55460,SP,49541,5919,2.91
138,Nighasan,BJP,75005,SP,43966,31039,15.06
139,Gola Gokrannath,SP,82439,BSP,63110,19329,8.68
140,Srinagar,SP,69776,BSP,37898,31878,17.11
141,Dhaurahra,BSP,64139,SP,63094,1045,0.5
142,Lakhimpur,SP,82713,BSP,44720,37993,17.75
143,Kasta,SP,88548,BSP,61677,26871,13.74
144,Mohammadi,BSP,57737,SP,46393,11344,5.67
145,Maholi,SP,87160,BSP,64445,22715,10.43
146,Sitapur,SP,58370,BSP,48072,10298,5.24
147,Hargaon,BSP,73889,SP,61740,12149,6.31
148,Laharpur,BSP,71860,INC,54188,17672,9.12
149,Biswan,SP,74441,BSP,67092,7349,3.77
150,Sevata,SP,49510,INC,47063,2447,1.39
151,Mahmoodabad,SP,86580,BSP,66991,19589,10.54
152,Sidhauli,SP,73714,BSP,67083,6631,3.3
153,Misrikh,SP,61346,BSP,59824,1522,0.81
154,Sawaijpur,BSP,49099,JaKP,44580,4519,2.15
155,Shahabad,SP,89947,BSP,78813,11134,5.48
156,Hardoi,SP,110063,BSP,66381,43682,21.67
157,Gopamau,SP,67430,BSP,61227,6203,3.38
158,Sandi,SP,66325,BSP,59675,6650,3.82
159,Bilgram Mallanwan,BSP,64768,SP,57440,7328,3.45
160,Balamau,SP,67800,BSP,67627,173,0.1
161,Sandila,SP,84644,BSP,65510,19134,9.92
