const_code,constituency,win_party,win_votes,second_party,second_votes,None of the Above,margin,percent
1,Behat,INC,97035,BJP,71449,1576,25586,10.13
2,Nakur,BJP,94375,INC,90318,1232,4057,1.59
3,Saharanpur Nagar,SP,127210,BJP,122574,675,4636,1.7
4,Saharanpur,INC,87689,BSP,75365,968,12324,5.19
5,Deoband,BJP,102244,BSP,72844,798,29400,12.55
6,Rampur Maniharan,BJP,76465,BSP,75870,856,595,0.27
7,Gangoh,BJP,99446,INC,61418,971,38028,14.78
8,Kairana,SP,98830,BJP,77668,1060,21162,10.12
9,Thana Bhawan,BJP,90995,BSP,74178,883,16817,7.91
10,Shamli,BJP,70085,INC,40365,901,29720,15.14
11,Budhana,BJP,97781,SP,84580,1286,13201,5.47
12,Charthawal,BJP,82046,SP,58815,1018,23231,11.22
13,Purqazi,BJP,77491,INC,66238,1139,11253,5.51
14,Muzaffar Nagar,BJP,97838,SP,87134,1133,10704,4.96
15,Khatauli,BJP,94771,SP,63397,694,31374,14.72
16,Meerapur,BJP,69035,SP,68842,1090,193,0.09
17,Najibabad,SP,81082,BJP,79080,1516,2002,0.93
18,Nagina,SP,77145,BJP,69178,1431,7967,3.8
19,Barhapur,BJP,78744,INC,68920,556,9824,4.42
20,Dhampur,BJP,82169,SP,64305,1020,17864,9.26
21,Nehtaur,BJP,76644,INC,53493,1273,23151,12.3
22,Bijnor,BJP,105548,SP,78267,1241,27281,11.1
23,Chandpur,BJP,92345,BSP,56696,932,35649,16.32
24,Noorpur,BJP,79172,SP,66436,1115,12736,6.27
25,Kanth,BJP,76307,SP,73959,1199,2348,0.93
26,Thakurdwara,SP,107865,BJP,94456,1040,13409,5.23
27,Moradabad Rural,SP,97916,BJP,69135,639,28781,13
28,Moradabad Nagar,BJP,123467,SP,120274,855,3193,1.15
29,Kundarki,SP,110561,BJP,99740,1170,10821,4.09
30,Bilari,SP,85682,BJP,72241,1123,13441,5.87
31,Chandausi,BJP,104806,INC,59337,2135,45469,20.29
32,Asmoli,SP,97610,BJP,76484,1872,21126,8.45
33,Sambhal,SP,79248,All India Majlis-E-Ittehadul Muslimeen,60426,1683,18822,7.77
34,Suar,SP,106443,BJP,53347,872,53096,25.78
35,Chamraua,SP,87400,BSP,53024,1077,34376,17.69
36,Bilaspur,BJP,99100,INC,76741,1227,22359,10
37,Rampur,SP,102100,BJP,55258,1191,46842,21.78
38,Milak,BJP,89861,SP,73194,1477,16667,7.7
39,Dhanaura,BJP,102943,SP,64714,1824,38229,16.98
40,Naugawan Sadat,BJP,97030,SP,76382,1132,20648,8.82
41,Amroha,SP,74713,BSP,59671,1219,15042,7.47
42,Hasanpur,BJP,111269,SP,83499,1694,27770,10.89
43,Siwalkhas,BJP,72842,SP,61421,1086,11421,5.07
44,Sardhana,BJP,97921,SP,76296,1087,21625,9.04
45,Hastinapur,BJP,99436,BSP,63374,1013,36062,16.29
46,Kithore,BJP,90622,SP,79800,1224,10822,4.46
47,Meerut Cantt.,BJP,132518,BSP,55899,1110,76619,32.34
48,Meerut,SP,103217,BJP,74448,738,28769,14.71
49,Meerut South,BJP,113225,BSP,77830,1401,35395,13.07
50,Chhaprauli,Rashtriya Lok Dal,65124,BJP,61282,1027,3842,1.92
