"state","state_code","const_code","const_id","constituency","turnout","phase"
"Uttar Pradesh","UP","1","UP-1","Behat","71","2"
"Uttar Pradesh","UP","2","UP-2","Nakur","72.5","2"
"Uttar Pradesh","UP","3","UP-3","Saharanpur Nagar","65.2","2"
"Uttar Pradesh","UP","4","UP-4","Saharanpur","72","2"
"Uttar Pradesh","UP","5","UP-5","Deoband","71","2"
"Uttar Pradesh","UP","6","UP-6","Rampur Maniharan","72","2"
"Uttar Pradesh","UP","7","UP-7","Gangoh","71","2"
"Uttar Pradesh","UP","8","UP-8","Kairana","69.36","1"
"Uttar Pradesh","UP","9","UP-9","Thana Bhawan","65","1"
"Uttar Pradesh","UP","10","UP-10","Shamli","67","1"
"Uttar Pradesh","UP","11","UP-11","Budhana","66","1"
"Uttar Pradesh","UP","12","UP-12","Charthawal","65","1"
"Uttar Pradesh","UP","13","UP-13","Purqazi","64","1"
"Uttar Pradesh","UP","14","UP-14","Muzaffar Nagar","64","1"
"Uttar Pradesh","UP","15","UP-15","Khatauli","69","1"
"Uttar Pradesh","UP","16","UP-16","Meerapur","65","1"
"Uttar Pradesh","UP","17","UP-17","Najibabad","67.81","2"
"Uttar Pradesh","UP","18","UP-18","Nagina","63.11","2"
"Uttar Pradesh","UP","19","UP-19","Barhapur","67.54","2"
"Uttar Pradesh","UP","20","UP-20","Dhampur","66.54","2"
"Uttar Pradesh","UP","21","UP-21","Nehtaur","65.11","2"
"Uttar Pradesh","UP","22","UP-22","Bijnor","68.45","2"
"Uttar Pradesh","UP","23","UP-23","Chandpur","72.25","2"
"Uttar Pradesh","UP","24","UP-24","Noorpur","67.28","2"
"Uttar Pradesh","UP","25","UP-25","Kanth","68","2"
"Uttar Pradesh","UP","26","UP-26","Thakurdwara","68.17","2"
"Uttar Pradesh","UP","27","UP-27","Moradabad Rural","62","2"
"Uttar Pradesh","UP","28","UP-28","Moradabad Nagar","58.5","2"
"Uttar Pradesh","UP","29","UP-29","Kundarki","66","2"
"Uttar Pradesh","UP","30","UP-30","Bilari","63.5","2"
"Uttar Pradesh","UP","31","UP-31","Chandausi","61.78","2"
"Uttar Pradesh","UP","32","UP-32","Asmoli","68.98","2"
"Uttar Pradesh","UP","33","UP-33","Sambhal","71.4","2"
"Uttar Pradesh","UP","34","UP-34","Suar","69.62","2"
"Uttar Pradesh","UP","35","UP-35","Chamraua","63.75","2"
"Uttar Pradesh","UP","36","UP-36","Bilaspur","67.29","2"
"Uttar Pradesh","UP","37","UP-37","Rampur","59.54","2"
"Uttar Pradesh","UP","38","UP-38","Milak","62.57","2"
"Uttar Pradesh","UP","39","UP-39","Dhanaura","67","2"
"Uttar Pradesh","UP","40","UP-40","Naugawan Sadat","72","2"
"Uttar Pradesh","UP","41","UP-41","Amroha","68","2"
"Uttar Pradesh","UP","42","UP-42","Hasanpur","69","2"
"Uttar Pradesh","UP","43","UP-43","Siwalkhas","70","1"
"Uttar Pradesh","UP","44","UP-44","Sardhana","70","1"
"Uttar Pradesh","UP","45","UP-45","Hastinapur","65","1"
"Uttar Pradesh","UP","46","UP-46","Kithore","70","1"
"Uttar Pradesh","UP","47","UP-47","Meerut Cantt.","65","1"
"Uttar Pradesh","UP","48","UP-48","Meerut","60","1"
"Uttar Pradesh","UP","49","UP-49","Meerut South","62","1"
"Uttar Pradesh","UP","50","UP-50","Chhaprauli","64.75","1"
"Uttar Pradesh","UP","51","UP-51","Baraut","65.71","1"
"Uttar Pradesh","UP","52","UP-52","Baghpat","64.5","1"
"Uttar Pradesh","UP","53","UP-53","Loni","55","1"
"Uttar Pradesh","UP","54","UP-54","Muradnagar","61","1"
"Uttar Pradesh","UP","55","UP-55","Sahibabad","52.5","1"
"Uttar Pradesh","UP","56","UP-56","Ghaziabad","57","1"
"Uttar Pradesh","UP","57","UP-57","Modi Nagar","65","1"
"Uttar Pradesh","UP","58","UP-58","Dholana","65","1"
"Uttar Pradesh","UP","59","UP-59","Hapur","62","1"
"Uttar Pradesh","UP","60","UP-60","Garhmukteshwar","70","1"
"Uttar Pradesh","UP","61","UP-61","Noida","51","1"
"Uttar Pradesh","UP","62","UP-62","Dadri","61.51","1"
"Uttar Pradesh","UP","63","UP-63","Jewar","65","1"
"Uttar Pradesh","UP","64","UP-64","Sikandrabad","65","1"
"Uttar Pradesh","UP","65","UP-65","Bulandshahr","67","1"
"Uttar Pradesh","UP","66","UP-66","Syana","62","1"
"Uttar Pradesh","UP","67","UP-67","Anupshahr","64","1"
"Uttar Pradesh","UP","68","UP-68","Debai","63.2","1"
"Uttar Pradesh","UP","69","UP-69","Shikarpur","65.32","1"
"Uttar Pradesh","UP","70","UP-70","Khurja","66","1"
"Uttar Pradesh","UP","71","UP-71","Khair","61","1"
"Uttar Pradesh","UP","72","UP-72","Barauli","67","1"
"Uttar Pradesh","UP","73","UP-73","Atrauli","64","1"
"Uttar Pradesh","UP","74","UP-74","Chharra","65","1"
"Uttar Pradesh","UP","75","UP-75","Koil","65.5","1"
"Uttar Pradesh","UP","76","UP-76","Aligarh","64.5","1"
"Uttar Pradesh","UP","77","UP-77","Iglas","65.6","1"
"Uttar Pradesh","UP","78","UP-78","Hathras","66.2","1"
"Uttar Pradesh","UP","79","UP-79","Sadabad","66.1","1"
"Uttar Pradesh","UP","80","UP-80","Sikandra Rao","60","1"
"Uttar Pradesh","UP","81","UP-81","Chhata","66","1"
"Uttar Pradesh","UP","82","UP-82","Mant","67","1"
"Uttar Pradesh","UP","83","UP-83","Goverdhan","66","1"
"Uttar Pradesh","UP","84","UP-84","Mathura","61","1"
"Uttar Pradesh","UP","85","UP-85","Baldev","66.94","1"
"Uttar Pradesh","UP","86","UP-86","Etmadpur","67","1"
"Uttar Pradesh","UP","87","UP-87","Agra Cantt.","67","1"
"Uttar Pradesh","UP","88","UP-88","Agra South","61.5","1"
"Uttar Pradesh","UP","89","UP-89","Agra North","57","1"
"Uttar Pradesh","UP","90","UP-90","Agra Rural","62","1"
"Uttar Pradesh","UP","91","UP-91","Fatehpur Sikri","68","1"
"Uttar Pradesh","UP","92","UP-92","Kheragarh","61","1"
"Uttar Pradesh","UP","93","UP-93","Fatehabad","71.18","1"
"Uttar Pradesh","UP","94","UP-94","Bah","60.21","1"
"Uttar Pradesh","UP","95","UP-95","Tundla","68","1"
"Uttar Pradesh","UP","96","UP-96","Jasrana","66.7","1"
"Uttar Pradesh","UP","97","UP-97","Firozabad","61.75","1"
"Uttar Pradesh","UP","98","UP-98","Shikohabad","61.5","1"
"Uttar Pradesh","UP","99","UP-99","Sirsaganj","60","1"
"Uttar Pradesh","UP","100","UP-100","Kasganj","66","1"
"Uttar Pradesh","UP","101","UP-101","Amanpur","63.5","1"
"Uttar Pradesh","UP","102","UP-102","Patiyali","65","1"
"Uttar Pradesh","UP","103","UP-103","Aliganj","65","1"
"Uttar Pradesh","UP","104","UP-104","Etah","63.7","1"
"Uttar Pradesh","UP","105","UP-105","Marhara","65","1"
"Uttar Pradesh","UP","106","UP-106","Jalesar","66","1"
"Uttar Pradesh","UP","107","UP-107","Mainpuri","59.91","3"
"Uttar Pradesh","UP","108","UP-108","Bhongaon","58.61","3"
"Uttar Pradesh","UP","109","UP-109","Kishni","59.72","3"
"Uttar Pradesh","UP","110","UP-110","Karhal","59.8","3"
"Uttar Pradesh","UP","111","UP-111","Gunnaur","59.64","2"
"Uttar Pradesh","UP","112","UP-112","Bisauli","62.14","2"
"Uttar Pradesh","UP","113","UP-113","Sahaswan","61.45","2"
"Uttar Pradesh","UP","114","UP-114","Bilsi","60.63","2"
"Uttar Pradesh","UP","115","UP-115","Badaun","61.28","2"
"Uttar Pradesh","UP","116","UP-116","Shekhupur","60.14","2"
"Uttar Pradesh","UP","117","UP-117","Dataganj","59.68","2"
"Uttar Pradesh","UP","118","UP-118","Baheri","66","5"
"Uttar Pradesh","UP","119","UP-119","Meerganj","65.6","2"
"Uttar Pradesh","UP","120","UP-120","Bhojipura","64.1","2"
"Uttar Pradesh","UP","121","UP-121","Nawabganj","67.6","2"
"Uttar Pradesh","UP","122","UP-122","Faridpur","63.2","2"
"Uttar Pradesh","UP","123","UP-123","Bithari Chainpur","63","2"
"Uttar Pradesh","UP","124","UP-124","Bareilly","53","2"
"Uttar Pradesh","UP","125","UP-125","Bareilly Cantt.","54.36","2"
"Uttar Pradesh","UP","126","UP-126","Aonla","62.7","2"
"Uttar Pradesh","UP","127","UP-127","Pilibhit","68.09","2"
"Uttar Pradesh","UP","128","UP-128","Barkhera","69.12","2"
"Uttar Pradesh","UP","129","UP-129","Puranpur","66.48","2"
"Uttar Pradesh","UP","130","UP-130","Bisalpur","65.43","2"
"Uttar Pradesh","UP","131","UP-131","Katra","58.5","2"
"Uttar Pradesh","UP","132","UP-132","Jalalabad","59","2"
"Uttar Pradesh","UP","133","UP-133","Tilhar","62.5","2"
"Uttar Pradesh","UP","134","UP-134","Powayan","58.5","2"
"Uttar Pradesh","UP","135","UP-135","Shahjahanpur","58.5","2"
"Uttar Pradesh","UP","136","UP-136","Dadraul","64.2","2"
"Uttar Pradesh","UP","137","UP-137","Palia","67","2"
"Uttar Pradesh","UP","138","UP-138","Nighasan","66","2"
"Uttar Pradesh","UP","139","UP-139","Gola Gokrannath","66","2"
"Uttar Pradesh","UP","140","UP-140","Sri Nagar","66","2"
"Uttar Pradesh","UP","141","UP-141","Dhaurahra","65","2"
"Uttar Pradesh","UP","142","UP-142","Lakhimpur","64","2"
"Uttar Pradesh","UP","143","UP-143","Kasta","70","2"
"Uttar Pradesh","UP","144","UP-144","Mohammdi","67","2"
"Uttar Pradesh","UP","145","UP-145","Maholi","68.57","3"
"Uttar Pradesh","UP","146","UP-146","Sitapur","62.88","3"
"Uttar Pradesh","UP","147","UP-147","Hargaon","71.13","3"
"Uttar Pradesh","UP","148","UP-148","Laharpur","68.19","3"
"Uttar Pradesh","UP","149","UP-149","Biswan","71.28","3"
"Uttar Pradesh","UP","150","UP-150","Sevata","69.39","3"
"Uttar Pradesh","UP","151","UP-151","Mohmoodabad","72.4","3"
"Uttar Pradesh","UP","152","UP-152","Sidhauli","69.78","3"
"Uttar Pradesh","UP","153","UP-153","Misrikh","62.83","3"
"Uttar Pradesh","UP","154","UP-154","Sawayazpur","60.35","3"
"Uttar Pradesh","UP","155","UP-155","Shahabad","63.71","3"
"Uttar Pradesh","UP","156","UP-156","Hardoi","57.15","3"
"Uttar Pradesh","UP","157","UP-157","Gopamau","60.59","3"
"Uttar Pradesh","UP","158","UP-158","Sandi","57.76","3"
"Uttar Pradesh","UP","159","UP-159","Bilgram Mallanwan","62.63","3"
"Uttar Pradesh","UP","160","UP-160","Balamau","53.55","3"
"Uttar Pradesh","UP","161","UP-161","Sandila","58.54","3"
"Uttar Pradesh","UP","162","UP-162","Bangermau","59.55","3"
"Uttar Pradesh","UP","163","UP-163","Safipur","59.99","3"
"Uttar Pradesh","UP","164","UP-164","Mohan","63.57","3"
"Uttar Pradesh","UP","165","UP-165","Unnao","59.62","3"
"Uttar Pradesh","UP","166","UP-166","Bhagwantnagar","56.69","3"
"Uttar Pradesh","UP","167","UP-167","Purwa","61.73","3"
"Uttar Pradesh","UP","168","UP-168","Malihabad","65.91","3"
"Uttar Pradesh","UP","169","UP-169","Bakshi Kaa Talab","66.93","3"
"Uttar Pradesh","UP","170","UP-170","Sarojini Nagar","58.98","3"
"Uttar Pradesh","UP","171","UP-171","Lucknow West","55.98","3"
"Uttar Pradesh","UP","172","UP-172","Lucknow North","56.91","3"
